Province,No Schooling,NS_Perc,Primary,Pri_Perc,Junior Secondary,JS_Perc,Regular Secondary,RS_Perc,Undergraduate,UG_Perc,Sample Population
Beijing,6180,1.950923848,32650,10.30706531,80272,25.34054354,42868,13.53271901,70180,22.15466596,316773
Tianjin,5738,2.514505075,35688,15.63918737,85899,37.64264054,30811,13.50198952,26742,11.71887325,228196
Hebei,44629,4.186149472,274871,25.78258737,468196,43.91625262,129334,12.13138219,39560,3.710683034,1066111
Shanxi,17212,3.211044261,110913,20.69175878,230246,42.95433982,81434,15.19220186,29197,5.446947437,536025
Inner Mongolia,21579,5.852455949,89268,24.21043782,138368,37.52688376,46638,12.64872517,26673,7.234003314,368717
Liaoning,15151,2.320903913,131839,20.19573962,293115,44.90078216,74717,11.44551367,51918,7.953051902,652806
Jilin,12954,3.162813864,100760,24.6012911,174513,42.60862559,54707,13.35711426,25265,6.168634575,409572
Heilongjiang,18889,3.300928118,134603,23.52241133,257250,44.95546395,70680,12.35161202,35910,6.275415783,572233
Shanghai,11792,3.312396769,46582,13.08497848,120392,33.81835751,52278,14.68499646,51011,14.32909359,355996
Jiangsu,65122,0.559851025,270803,2.32808171,425735,3.660025432,148594,1.277456209,83583,0.718559446,11632023
Zhejiang,52902,6.526945147,239672,29.57026194,284255,35.07082516,88734,10.94782713,53159,6.558653304,810517
Anhui,59704,6.753189169,245444,27.7624575,352571,39.87971758,97055,10.9780044,42716,4.831656649,884086
Fujian,38145,6.986250941,160778,29.44646622,189992,34.79700587,60067,11.0012619,35625,6.524713325,546001
Jiangxi,31679,4.862934001,195947,30.07914798,252488,38.75856183,82379,12.64571609,30600,4.697300434,651438
Shandong,96731,6.793961703,345693,24.27996199,569311,39.98591073,160761,11.29114842,79396,5.57642724,1423779
Henan,77360,5.717478515,350004,25.86789491,579625,42.83859209,191204,14.13139558,46221,3.416075161,1353044
Hubei,51048,6.026932767,203950,24.07915957,310274,36.63219984,112916,13.33131837,60195,7.106864479,846998
Hunan,36205,3.706183251,259381,26.55195464,369554,37.82999158,155211,15.88842449,50701,5.190089683,976881
Guangdong,53925,3.457238274,352377,22.59158556,630674,40.43375598,245678,15.7509019,72518,4.649272233,1559771
Guangxi,32658,4.837175959,210679,31.20495419,277465,41.09703679,62958,9.325094128,28292,4.190501018,675146
Hainan,6574,5.09426798,27457,21.27674413,57970,44.92161771,15974,12.37843576,6153,4.768030253,129047
Chongqing,24737,5.601536194,139391,31.5642047,146462,33.16538764,55244,12.50965216,23113,5.233791731,441611
Sichuan,97796,8.147806251,399659,33.29731378,406996,33.90859087,123250,10.2684887,57286,4.772743557,1200274
Guizhou,60459,12.06256035,172357,34.38804338,174867,34.88882948,36519,7.286138401,20212,4.032624917,501212
Yunan,63598,9.321843848,255239,37.41152398,220696,32.34840168,49715,7.286950327,28817,4.223836822,682247
Tibet,16503,35.95581507,16848,36.70748181,6639,14.46468256,2145,4.673406249,1625,3.540459279,45898
Shaanxi,29519,5.374948106,126830,23.09375888,207427,37.76921172,70284,12.79761688,45804,8.340191844,549196
Gansu,41499,11.0007767,115600,30.64386579,112808,29.90374751,44169,11.70855457,21224,5.626171346,377237
Qinghai,13950,16.5680895,29610,35.16710611,22619,26.86405853,6769,8.039383358,4055,4.816028884,84198
Ningxia,8397,8.80659472,26334,27.61853821,32026,33.58818656,10361,10.86639608,6978,7.318377749,95349
Xinjiang,16311,4.151438025,98351,25.03206923,121585,30.94553321,30910,7.867141766,20443,5.203105116,392900
